,airline_name,airline_iata,airline_icao,callsign,airline_country
3490,Delta Air Lines,DL,DAL,DELTA,United States
3491,Tropic Air,PM,TOS,TROPISER,Belize
3492,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
3493,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
3494,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
3495,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
3496,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
3497,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
3498,Allegiant Air,G4,AAY,ALLEGIANT,United States
3499,Wings Air,IW,WON,WINGS ABADI,Indonesia
3500,Spring Airlines,9S,CQH,AIR SPRING,China
3501,Spring Airlines,9S,CQH,AIR SPRING,China
3502,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
3503,Alaska Airlines,AS,ASA, Inc.,ALASKA
3504,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
3505,Wings Air,IW,WON,WINGS ABADI,Indonesia
3506,China Eastern Airlines,MU,CES,CHINA EASTERN,China
3507,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
3508,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
3509,United Airlines,UA,UAL,UNITED,United States
3510,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
3511,Spring Airlines,9S,CQH,AIR SPRING,China
3512,JetBlue Airways,B6,JBU,JETBLUE,United States
3513,Air France,AF,AFR,AIRFRANS,France
3514,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
3515,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
3516,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
3517,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
3518,Nok Air,DD,NOK,NOK AIR,Thailand
3519,Spring Airlines,9S,CQH,AIR SPRING,China
3520,Hainan Airlines,HU,CHH,HAINAN,China
3521,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
3522,Nok Air,DD,NOK,NOK AIR,Thailand
3523,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
3524,Allegiant Air,G4,AAY,ALLEGIANT,United States
