,origin_airport_name,origin_airport_city,origin_airport_country,origin_airport_iata,origin_icao,origin_lat,origin_long,origin_altitude,origin_timezone
93,Jeju International Airport,Cheju,South Korea,CJU,RKPC,33.51,126.49,118.0,Asia/Seoul
94,Indianapolis International Airport,Indianapolis,United States,IND,KIND,39.72,-86.29,797.0,America/New_York
95,Congonhas Airport,Sao Paulo,Brazil,CGH,SBSP,-23.63,-46.66,2631.0,America/Sao_Paulo
96,Taiping Airport,Harbin,China,HRB,ZYHB,45.62,126.25,457.0,Asia/Shanghai
97,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,MMPR,20.68,-105.25,23.0,America/Mexico_City
98,,,,,,,,,
99,Bahia - Jorge Amado Airport,Ilheus,Brazil,IOS,SBIL,-14.82,-39.03,15.0,America/Fortaleza
100,George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,29.98,-95.34,97.0,America/Chicago
101,Memphis International Airport,Memphis,United States,MEM,KMEM,35.04,-89.98,341.0,America/Chicago
102,Tolmachevo Airport,Novosibirsk,Russia,OVB,UNNT,55.01,82.65,365.0,Asia/Krasnoyarsk
103,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.75,101.71,69.0,Asia/Kuala_Lumpur
104,Don Mueang International Airport,Bangkok,Thailand,DMK,VTBD,13.91,100.61,9.0,Asia/Bangkok
105,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,GRU,SBGR,-23.44,-46.47,2459.0,America/Sao_Paulo
106,Krasnodar Pashkovsky International Airport,Krasnodar,Russia,KRR,URKK,45.03,39.17,118.0,Europe/Moscow
107,Berlin-Tegel Airport,Berlin,Germany,TXL,EDDT,52.56,13.29,122.0,Europe/Berlin
108,Zumbi dos Palmares Airport,Maceio,Brazil,MCZ,SBMO,-9.51,-35.79,387.0,America/Fortaleza
109,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.98,-87.9,672.0,America/Chicago
110,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.99,-22.61,171.0,Atlantic/Reykjavik
111,Rafael Nuñez International Airport,Cartagena,Colombia,CTG,SKCG,10.44,-75.51,4.0,America/Bogota
112,Xiamen Gaoqi International Airport,Xiamen,China,XMN,ZSAM,24.54,118.13,59.0,Asia/Shanghai
113,Camilo Daza International Airport,Cucuta,Colombia,CUC,SKCC,7.93,-72.51,1096.0,America/Bogota
114,Alfonso Bonilla Aragon International Airport,Cali,Colombia,CLO,SKCL,3.54,-76.38,3162.0,America/Bogota
115,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,COR,SACO,-31.32,-64.21,1604.0,America/Cordoba
116,Taoxian Airport,Shenyang,China,SHE,ZYTX,41.64,123.48,198.0,Asia/Shanghai
117,Faro Airport,Faro,Portugal,FAO,LPFR,37.01,-7.97,24.0,Europe/Lisbon
118,Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.49,-80.23,1203.0,America/New_York
119,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI,KBWI,39.18,-76.67,146.0,America/New_York
120,La Florida Airport,La Serena,Chile,LSC,SCSE,-29.92,-71.2,481.0,America/Santiago
121,Chicago Midway International Airport,Chicago,United States,MDW,KMDW,41.79,-87.75,620.0,America/Chicago
122,Ürümqi Diwopu International Airport,Urumqi,China,URC,ZWWW,43.91,87.47,2125.0,Asia/Shanghai
123,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,LIRF,41.8,12.24,13.0,Europe/Rome
124,Sanya Phoenix International Airport,Sanya,China,SYX,ZJSY,18.3,109.41,92.0,Asia/Shanghai
125,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI,KBWI,39.18,-76.67,146.0,America/New_York
126,Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,-32.9,-60.78,85.0,America/Cordoba
127,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,LIRF,41.8,12.24,13.0,Europe/Rome
